602  ìœè¨ñq                                                     2020ï‚ê≥    -7
202110 11620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 117 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 118 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 119 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 120 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 121 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 122 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 123 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 12340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 0 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 1 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 2 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 3 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 4 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 5 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 6 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 7 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 8 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 9 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 2 940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 210 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 211 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 212 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 213 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 214 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 215 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 216 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 217 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 218 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 219 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 21940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 220 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 221 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 222 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 223 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 22340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 0 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 1 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 2 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 3 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 4 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 5 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 6 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 7 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 8 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 9 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 3 940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 310 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 311 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 312 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 313 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 314 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 315 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 316 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 317 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 318 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 319 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 31940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 320 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 321 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 322 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 323 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 32340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 0 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 1 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 2 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 3 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 4 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 5 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 6 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 7 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 8 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 9 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 4 940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 410 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 411 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 412 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 413 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 414 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 415 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 416 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 417 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 418 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 419 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 41940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 420 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 421 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 422 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 423 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 42340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 5 0 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 5 020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 5 040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
